1386136718 :: Program started
1386136718 :: Finding features
1386136718 :: Finding faces
1386136718 :: Finding Eyes
1386136718 :: Finished finding features
1386136720 :: Finding features
1386136720 :: Finding faces
1386136720 :: Finding Eyes
1386136720 :: Finished finding features
1386136720 :: Finding features
1386136720 :: Finding faces
1386136720 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136721 :: Unknown exception
1386136721 :: Finding features
1386136721 :: Finding faces
1386136721 :: Finding Eyes
1386136722 :: Unknown exception
1386136722 :: Finding features
1386136722 :: Finding faces
1386136722 :: Finding Eyes
1386136722 :: Finished finding features
1386136722 :: Finding features
1386136722 :: Finding faces
1386136722 :: Finding Eyes
1386136722 :: Unknown exception
1386136722 :: Finding features
1386136722 :: Finding faces
1386136722 :: Finding Eyes
1386136722 :: Finished finding features
1386136722 :: Finding features
1386136722 :: Finding faces
1386136722 :: Finding Eyes
1386136722 :: Unknown exception
1386136722 :: Finding features
1386136722 :: Finding faces
1386136722 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
1386136723 :: Unknown exception
1386136723 :: Finding features
1386136723 :: Finding faces
1386136723 :: Finding Eyes
